"Participant.ID","Country","AgeMatchGroup","Video.id","Motion.status","Start.Frame","End.Frame","Total.Points","Start.ms","End.ms"
"048RE","India",46,9,"Stationary",46184,46334,1017540000,1384134480,1388629980
"048RE","India",46,9,"Stationary",78731,78881,1017540000,2359568070,2364063570
"048RE","India",46,11,"Moving",17562,17712,1017540000,526333140,530828640
"048RE","India",46,11,"Stationary",7403,7552,1004018024,221867910,226333440
"048RE","India",46,11,"Stationary",30839,30989,1017540000,924244830,928740330
"048RE","India",46,13,"Moving",15375,15524,1004018024,460788750,465254280
"048RE","India",46,16,"Stationary",3866,4016,1017540000,115864020,120359520
"053KD","U.S.",53.5,1,"Stationary",5455,5604,1004018024,163486350,167951880
"053KD","U.S.",53.5,3,"Stationary",103007,103157,1017540000,3087119790,3091615290
"053KD","U.S.",53.5,5,"Stationary",779,929,1017540000,23346630,27842130
"053KD","U.S.",53.5,6,"Moving",809,959,1017540000,24245730,28741230
"053KD","U.S.",53.5,6,"Moving",87303,87452,1004018024,2616470910,2620936440
"053KD","U.S.",53.5,6,"Stationary",8601,8751,1017540000,257771970,262267470
"053KD","U.S.",53.5,6,"Stationary",24216,24366,1017540000,725753520,730249020
"053KD","U.S.",53.5,7,"Moving",2607,2757,1017540000,78131790,82627290
"053KD","U.S.",53.5,7,"Moving",7942,8092,1017540000,238021740,242517240
"053KD","U.S.",53.5,7,"Stationary",59041,59191,1017540000,1769458770,1773954270
"054AJ","India",53.5,13,"Moving",15075,15225,1017540000,451797750,456293250
"054AJ","India",53.5,16,"Stationary",1349,1499,1017540000,40429530,44925030
"054AJ","India",53.5,16,"Stationary",1768,1918,1017540000,52986960,57482460
"054AJ","India",53.5,17,"Moving",30,180,1017540000,899100,5394600
"054AJ","India",53.5,19,"Stationary",210,360,1017540000,6293700,10789200
"054AJ","India",53.5,22,"Stationary",3656,3806,1017540000,109570320,114065820
"054AJ","India",53.5,26,"Moving",899,1049,1017540000,26943030,31438530
"054AJ","India",53.5,26,"Stationary",2278,2428,1017540000,68271660,72767160
"054AJ","India",53.5,28,"Moving",2607,2757,1017540000,78131790,82627290
"054AJ","India",53.5,28,"Moving",4046,4196,1017540000,121258620,125754120
"057AP","U.S.",57.5,2,"Stationary",53197,53347,1017540000,1594314090,1598809590
"057AP","U.S.",57.5,4,"Moving",91888,92038,1017540000,2753883360,2758378860
"057AP","U.S.",57.5,4,"Stationary",16963,17113,1017540000,508381110,512876610
"057AP","U.S.",57.5,4,"Stationary",97073,97223,1017540000,2909277810,2913773310
"057AP","U.S.",57.5,7,"Moving",4256,4406,1017540000,127552320,132047820
"057AP","U.S.",57.5,9,"Moving",899,1049,1017540000,26943030,31438530
"057AP","U.S.",57.5,9,"Moving",38302,38452,1017540000,1147910940,1152406440
"057AP","U.S.",57.5,10,"Moving",14625,14775,1017540000,438311250,442806750
"057AP","U.S.",57.5,11,"Moving",420,569,1004018024,12587400,17052930
"057AP","U.S.",57.5,11,"Moving",76813,76963,1017540000,2302085610,2306581110
"058LA","India",57.5,3,"Moving",1409,1558,1004018024,42227730,46693260
"058LA","India",57.5,5,"Stationary",36234,36384,1017540000,1085932980,1090428480
"058LA","India",57.5,8,"Moving",10250,10400,1017540000,307192500,311688000
"058LA","India",57.5,8,"Moving",16543,16693,1017540000,495793710,500289210
"058LA","India",57.5,8,"Moving",38422,38571,1004018024,1151507340,1155972870
"058LA","India",57.5,8,"Stationary",13307,13457,1017540000,398810790,403306290
"058LA","India",57.5,8,"Stationary",19690,19840,1017540000,590109300,594604800
"058LA","India",57.5,8,"Stationary",37013,37163,1017540000,1109279610,1113775110
"058LA","India",57.5,8,"Stationary",45315,45464,1004018024,1358090550,1362556080
"058LA","India",57.5,8,"Stationary",46573,46723,1017540000,1395792810,1400288310
