Participant.ID,Country,Weeks.At.Test,AgeMatchGroup,Clip.Index,Segment.Index,Motion.Static,Segment.Start.ms,Segment.End.ms,Segment.ms
054AJ,India,54,53.5,28,6,Stationary,40683,43298,2615
006AP,U.S.,6,6,17,7,Moving,796790,799407,2617
022JL,U.S.,22,23,12,17,Moving,1580252,1582869,2617
053KD,U.S.,53,53.5,6,44,Moving,1482672,1485289,2617
053KD,U.S.,53,53.5,6,42,Moving,1456254,1458871,2617
017MA,India,17,17.5,20,5,Unclassified,1001986,1004603,2617
036MR,U.S.,36,36,5,50,Stationary,1383695,1386316,2621
036MR,U.S.,36,36,11,123,Moving,1478890,1481516,2626
036MR,U.S.,36,36,13,9,Moving,206238,208864,2626
046TE,U.S.,46,46.5,18,20,Moving,324046,326672,2626
057AP,U.S.,57,57.5,11,29,Moving,1084655,1087281,2626
046TE,U.S.,46,46.5,7,78,Stationary,3736319,3738948,2629
018MT,U.S.,18,17.5,8,7,Moving,812779,815409,2630
006MO,India,6,6,2,0,Unclassified,0,2635,2635
036VI,India,36,36,8,2,Moving,2061624,2064275,2651
036MR,U.S.,36,36,6,29,Stationary,643009,645660,2651
036MR,U.S.,36,36,11,177,Moving,2295517,2298180,2663
057AP,U.S.,57,57.5,6,35,Moving,940429,943092,2663
057AP,U.S.,57,57.5,2,7,Moving,1117252,1119915,2663
046TE,U.S.,46,46.5,16,14,Stationary,969992,972655,2663
036VI,India,36,36,15,24,Moving,540089,542757,2668
036VI,India,36,36,13,115,Moving,2190994,2193671,2677
006AP,U.S.,6,6,4,5,Moving,840072,842757,2685
036MR,U.S.,36,36,14,27,Moving,399798,402495,2697
057AP,U.S.,57,57.5,4,122,Moving,3041520,3044217,2697
057AP,U.S.,57,57.5,4,23,Stationary,377226,379923,2697
036VI,India,36,36,12,147,Moving,2981502,2984200,2698
018MT,U.S.,18,17.5,13,39,Moving,1711657,1714357,2700
036MR,U.S.,36,36,3,3,Moving,144855,147555,2700
053KD,U.S.,53,53.5,3,47,Moving,739075,741775,2700
018MT,U.S.,18,17.5,11,4,Stationary,2166794,2169494,2700
036MR,U.S.,36,36,11,162,Stationary,2044250,2046950,2700
036VI,India,36,36,9,32,Stationary,621748,624448,2700
036VI,India,36,36,11,14,Moving,662302,665005,2703
025TT,U.S.,25,25,20,10,Stationary,1083941,1086648,2707
036MR,U.S.,36,36,6,26,Moving,465087,467806,2719
034JC,U.S.,34,34,6,32,Moving,1905226,1907950,2724
034JC,U.S.,34,34,6,13,Stationary,1482316,1485042,2726
036VI,India,36,36,5,39,Moving,2000798,2003526,2728
057AP,U.S.,57,57.5,11,64,Stationary,2808744,2811472,2728
057AP,U.S.,57,57.5,4,136,Moving,3260932,3263667,2735
057AP,U.S.,57,57.5,4,69,Stationary,1992454,1995189,2735
053KD,U.S.,53,53.5,2,13,Moving,428645,431382,2737
053KD,U.S.,53,53.5,7,124,Moving,2318642,2321379,2737
057AP,U.S.,57,57.5,8,47,Moving,3006657,3009394,2737
057AP,U.S.,57,57.5,11,57,Moving,2734337,2737074,2737
053KD,U.S.,53,53.5,6,16,Moving,465970,468723,2753
053KD,U.S.,53,53.5,1,24,Stationary,619310,622063,2753
034NW,U.S.,34,35,4,5,Moving,140740,143508,2768
034NW,U.S.,34,35,15,45,Moving,1116435,1119208,2773
018MT,U.S.,18,17.5,1,5,Moving,86432,89206,2774
036MR,U.S.,36,36,4,19,Stationary,236209,238983,2774
034JC,U.S.,34,34,14,0,Unclassified,0,2776,2776
034SA,India,34,34,15,0,Unclassified,0,2776,2776
054AJ,India,54,53.5,17,2,Unclassified,31339,34115,2776
022JL,U.S.,22,23,14,51,Moving,1177557,1180344,2787
022JL,U.S.,22,23,14,1,Moving,7310,10097,2787
022JL,U.S.,22,23,14,48,Stationary,1158449,1161236,2787
046TE,U.S.,46,46.5,7,11,Moving,1227375,1230180,2805
036NI,India,36,35,5,54,Moving,3220256,3223063,2807
036VI,India,36,36,13,137,Moving,2636496,2639306,2810
018MT,U.S.,18,17.5,8,41,Moving,2053426,2056237,2811
046TE,U.S.,46,46.5,18,50,Moving,1557626,1560437,2811
057AP,U.S.,57,57.5,8,35,Moving,2716614,2719425,2811
057AP,U.S.,57,57.5,11,25,Moving,998223,1001034,2811
057AP,U.S.,57,57.5,4,56,Moving,1740210,1743021,2811
036VI,India,36,36,12,82,Stationary,2167885,2170700,2815
006AP,U.S.,6,6,16,3,Moving,34646,37467,2821
036VI,India,36,36,12,100,Moving,2364768,2367589,2821
